file_size,entropy,files_in_window,extension_risk,modification_rate,label
432893,2.7834,2,0,0.1,0
2364833,6.083,14,1,29.28,1
169717,3.279,2,0,0.97,0
2976302,6.6901,24,1,21.58,1
1382774,7.6564,33,1,24.32,1
325780,3.0454,1,0,1.82,0
391194,2.6684,4,0,1.43,0
961099,7.2227,27,1,17.74,1
1496794,7.3592,16,1,18.62,1
257203,4.9401,2,0,0.51,0
198260,2.9982,4,0,1.32,0
126120,4.7685,1,0,0.53,0
217401,6.0377,26,1,28.44,1
110098,3.2243,4,0,0.33,0
1564241,6.3903,49,1,6.72,1
3178264,6.329,8,1,7.52,1
453887,5.4978,1,0,0.86,0
143220,4.2093,4,0,1.61,0
2868776,7.6069,13,1,16.34,1
57203,3.9409,3,0,1.26,0
4106834,7.0769,49,1,14.51,1
193875,5.4712,4,0,0.53,0
1892709,6.6741,15,1,22.42,1
368981,4.2701,1,0,0.24,0
69109,4.7203,2,0,0.44,0
17042,4.3296,2,0,0.14,0
2593742,6.1731,28,1,12.49,1
4398231,7.6607,49,1,16.48,1
1259370,7.8707,26,1,24.64,1
449474,4.3081,1,0,0.73,0
195067,4.8163,1,0,1.79,0
3452648,6.3934,37,1,15.75,1
146620,5.2907,3,0,1.0,0
230688,5.4292,2,0,1.1,0
321813,3.1319,4,0,0.19,0
4830828,6.5411,40,1,5.9,1
1233010,6.7981,44,1,18.41,1
305207,3.5593,1,0,1.22,0
1283582,6.9145,25,1,10.0,1
185178,4.3712,3,0,0.73,0
399863,3.2545,1,0,1.78,0
305210,4.6433,2,0,0.39,0
26689,4.7547,3,0,1.73,0
50085,7.4419,39,1,19.51,1
1431269,6.7633,43,1,18.23,1
518316,6.4546,31,1,27.89,1
117833,3.6187,1,0,1.86,0
2155482,6.8169,16,1,19.48,1
2054819,7.0665,11,1,12.16,1
290263,3.3983,1,0,0.48,0
418438,5.1205,2,0,1.62,0
2816418,7.62,15,1,27.02,1
17693,7.7343,12,1,19.59,1
638818,6.5148,34,1,22.59,1
259071,2.7031,2,0,1.05,0
3435673,7.9182,15,1,10.61,1
3256951,7.1241,24,1,14.88,1
2904239,6.0566,42,1,8.19,1
135577,3.6354,1,0,0.55,0
81828,4.4755,1,0,1.6,0
481725,3.3151,3,0,0.53,0
48131,5.1771,1,0,1.77,0
3766388,7.6103,26,1,11.91,1
94068,3.0374,4,0,1.34,0
454971,4.8789,4,0,1.49,0
4938373,7.7205,10,1,19.75,1
2191796,6.1473,38,1,14.71,1
1690396,6.8708,28,1,10.92,1
278090,4.951,2,0,0.91,0
719777,6.3334,13,1,7.79,1
2634150,7.3699,47,1,17.89,1
